Seq,ID,Channel,SYRS_ID,Category,Requirement,Source_ID,Source_Title,Distilled_Evidence,Similarity,Label_Relevant_YN,Notes
98,N-SYRS.0199_A,NHTSA,SYRS.0199_A,Body_Control,The ECU shall apply the new sensitivity offset value within 50 ms of receiving an update via the LIN signal 'Empfindlichkeit_LS,11501134,HONDA CIVIC 2022 [STEERING],"trigger:steering input within first ~5 degrees of center position during straight-line driving or low-speed maneuvering | behavior:ECU should translate small steering inputs into proportional assist and wheel response; instead, steering feels 'sticky' and unresponsive in the dead zone, then suddenly engages — causing unintended lateral vehicle movement and loss of fine directional control | fault_",0.5295,Y,
99,N-SYRS.0641_A_A,NHTSA,SYRS.0641_A_A,IO_HMI,"""IF the ATM (Audio Transfer Module) function is detected as deactivated, THEN the FES shall transition to 'Stand-alone Mode'. In this mode, the FES shall ignore external ATM layer-change requests and exclusively process local user inputs to toggle between the 'Volume Layer' and 'Experience Layer",11554805,"TOYOTA CAMRY 2021 [STEERING,LANE DEPARTURE]",trigger:User action: turning off the Lane Tracing Assist (LTA) switch | behavior:Expected: LTA system deactivates completely—no steering intervention and no lane departure warning beeps. Actual: LTA remains functionally active—steering is still assisted/affected and warning beeps sound upon lane crossing despite switch being in OFF position. | fault_mode:state-stuck,0.6053,Y,
100,G-SYRS.0251_C_C,GitHub,SYRS.0251_C_C,Diagnostics_DEM,"""Upon validation of the failure condition (SYRS.0251_C_A OR SYRS.0251_C_B), the System shall set the 'testFailed' bit (Bit 0) of the 'Climate_Sensor_Elec_Fault' DTC",pylessard/python-udsoncan#33,Messages using 'suppress_positive_response' are not sent.,"trigger:UDS diagnostic session control request with suppress_positive_response flag set, using vector hardware on Windows | behavior:Expected: UDS request with suppression bit set should be transmitted over ISO-TP without waiting for or expecting a positive response. Observed: Message is not transmitted unless debugger breakpoint is hit — indicating race condition or timing-dependent transmission ",0.5766,Y,
101,N-SYRS.0169_C,NHTSA,SYRS.0169_C,Body_Control,"""When the SCCM potentiometer is at Position 3, the system shall apply a gain factor of 0.6 ± 0.05 to the raw sensitivity input ($S_{out} = S_{raw} \times 0.6$)",11554853,"TOYOTA COROLLA 2022 [ELECTRICAL SYSTEM,TIRES,ENGINE]","trigger:Driving at 55 MPH with TPMS warning light illuminated, depressing accelerator pedal | behavior:Expected: vehicle to maintain or increase motive power in response to accelerator input. Actual: vehicle lost motive power intermittently at various speeds despite accelerator pedal depression. | fault_mode:no-response",0.5013,Y,
102,G-SYRS.0483_A,GitHub,SYRS.0483_A,Diagnostics_DEM,"""The Monitoring Cycle shall initiate (transition to 'Active') upon detection of 'Ignition_On', and shall terminate (transition to 'Terminated') when the system enters 'Ignition_Off' OR when a new Monitoring Cycle is subsequently initiated",pylessard/python-can-isotp#63,Consecutive frame timeout not raised after a Flow Control triggered by block size.,"trigger:Flow Control frame sent in response to a First Frame (FF), followed by sender halting consecutive frame (CF) transmission before timeout | behavior:Expected: Consecutive frame timeout (N_Cr) must be raised when CFs are not received within the specified time after Flow Control; Observed: Timeout is not raised unless Flow Control was triggered by block counter reaching maximum, violating ISO",0.5156,Y,
103,G-SYRS.0247_A,GitHub,SYRS.0247_A,Diagnostics_DEM,"""The 'Light Sensor Electronic Fault' shall be cleared (set to inactive) if both light receivers are diagnosed as OK for a continuous healing duration of at least T_Healing_Duration (e.g., 200 ms)",hardbyte/python-can#1294,CANalyst-II can't reopen device,trigger:CANalyst-II device reinitialization after shutdown without physical replug | behavior:Expected: device interface should cleanly close and reopen without requiring hardware reset. Observed: assertion failure on malformed receive buffer length and memory corruption (double free) during subsequent receive attempt. | fault_mode:silent failure leading to memory corruption,0.6171,Y,
104,G-SYRS.0794_B,GitHub,SYRS.0794_B,Diagnostic_Services,"""When 'Communication_Control_Active' is TRUE, the system shall set the network management signal 'NM_BedienDisp_m_UDS_CC' to 1. The transition (both 0->1 and 1->0) shall be completed within 10 ms of the triggering event",pylessard/python-udsoncan#212,No data received: [TimeoutException] Problem ,"trigger:UDS routine_control(0xFF01, 1) followed by request_download and transfer_data on real ECU with timeout=100s | behavior:Expected: timely positive or negative response (e.g., 0x71/0x7F) for each UDS service; Observed: TimeoutException — no response received within configured timeout | fault_mode:missing response",0.6466,Y,
105,G-SYRS.0719_B,GitHub,SYRS.0719_B,Diagnostics_DCM,"""The FES shall execute the Service 0x11 sequence maintaining the following timing constraints: 1) Positive response within 50 ms (P2_Max), and 2) ECU reset initiated within 200 ms after response transmission",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.6671,Y,
106,G-SYRS.0852_B,GitHub,SYRS.0852_B,Diagnostics_DEM,"""All network DTCs SHALL follow a 400ms 'Time-based Debouncing' strategy for Maturation and a 1000ms strategy for Healing (recovery to 'TestPassed')",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.6228,Y,
107,N-SYRS.0137_B_B,NHTSA,SYRS.0137_B_B,Body_Control,"""The accuracy of the intermittent wiper interval defined in SYRS.0137_B_A shall be $\pm 0.5$ s across the full operational temperature range",11424302,TOYOTA CAMRY 2021 [VISIBILITY/WIPER],"trigger:activation of windshield wiper high-speed setting during adverse weather conditions (rain/snow) | behavior:wipers expected to operate at industry-typical maximum speed sufficient for safe visibility; instead operated at approximately half the expected speed, resulting in inadequate clearing and compromised driver visibility | fault_mode:performance-degradation",0.5404,Y,
108,G-SYRS.0355_B_B,GitHub,SYRS.0355_B_B,Communication_Stack,"""The 250 ms delay shall be enforced for the first instance of the message after EVERY transition from 'Bus Sleep' or 'Prepare Bus Sleep' to 'Network Mode",hardbyte/python-can#1488,"Overloaded BufferedReader class ""misses"" response messages when they are preceded by error frames","trigger:CAN bus error frames preceding UDS response messages during ECU wake-up transition, with overloaded BufferedReader filtering error frames | behavior:Expected: all valid response messages (e.g., UDS positive responses) received within timeout are enqueued and returned by get_message(). Observed: some valid responses are silently dropped/missed despite being present on bus (verified via CANa",0.6257,Y,
109,G-SYRS.1159,GitHub,SYRS.1159,Diagnostics_DEM,"""When the system wakes up from a reset or power cycle, all alert signals shall initially be transmitted as cleared (0) until the maturation criteria are met within the current power cycle",hardbyte/python-can#1294,CANalyst-II can't reopen device,trigger:CANalyst-II device reinitialization after shutdown without physical replug | behavior:Expected: device interface should cleanly close and reopen without requiring hardware reset. Observed: assertion failure on malformed receive buffer length and memory corruption (double free) during subsequent receive attempt. | fault_mode:silent failure leading to memory corruption,0.5475,Y,
110,N-SYRS.0190_B,NHTSA,SYRS.0190_B,Body_Control,"""The system shall confirm a valid 'Light ON' condition if the sensor signal remains below the threshold for a continuous duration of $>$ 1000 ms. The headlight activation command shall be issued within 200 ms of this confirmation",11557628,TOYOTA CAMRY 2022 [EXTERIOR LIGHTING],"trigger:activation of high beams or ignition key turn-on | behavior:low beam LEDs should remain steadily illuminated during high beam operation and remain off/stable in ignition-on state; instead, both low beams flash intermittently — more severely on right front — and a diagnostic message indicates left front LED headlight fault | fault_mode:state-stuck",0.6323,Y,
111,G-SYRS.0519_B,GitHub,SYRS.0519_B,Diagnostics_DEM,"""The System shall include the following data elements within each 'Extended_Data_Record' stored in Event Memory: 1. 'RDI_$6080' (EventCounter), representing the occurrence count of the event; 2. 'RDI_$6081' (Cycles_to_switch_warning_lamp_OFF), with a fixed value of 0",pylessard/python-can-isotp#89,Custom counter for consecutive frame,"trigger:UDS TransferData service (0x36) with custom consecutive frame counter pattern (1-5-9-D) instead of standard ISO-15765-2 increment-by-1 | behavior:Expected: Standard ISO-15765-2 consecutive frame (CF) sequence numbering (0x20–0x2F, incrementing by 1 per CF). Observed: OEM-specific non-linear counter (0x21, 0x25, 0x29, 0x2D, then repeating 0x21–0x2D) used for cryptographic indexing in multi-",0.5154,Y,
112,G-SYRS.0652_B,GitHub,SYRS.0652_B,Diagnostics_DCM,"""The system shall respond to the 0x22 request for DID 0xFD01 within the P2_Server_Time (Standard: 50 ms). If the internal data source is temporarily unavailable, the system shall return NRC $22 (ConditionsNotCorrect)",pylessard/python-udsoncan#80,P2 timeout time issue,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x02, following successful 0x03 session; server sends pending NRC (0x78) within <10ms | behavior:Expected: client to reset P2 timer upon receiving 0x78 pending response and wait for final response before P2* timeout; observed: client times out despite valid pending response arriving well within P2 (typically 5000ms) or P2* (typic",0.7299,Y,
113,G-SYRS.0728_B_B,GitHub,SYRS.0728_B_B,Diagnostics_DCM,"""If a session transition request ($10) is received while Vehicle_Speed > 0 km/h, the system SHALL reject the request with NRC $22 (ConditionsNotCorrect)",pylessard/python-udsoncan#80,P2 timeout time issue,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x02, following successful 0x03 session; server sends pending NRC (0x78) within <10ms | behavior:Expected: client to reset P2 timer upon receiving 0x78 pending response and wait for final response before P2* timeout; observed: client times out despite valid pending response arriving well within P2 (typically 5000ms) or P2* (typic",0.625,Y,
114,N-SYRS.0193_B,NHTSA,SYRS.0193_B,Body_Control,"""The system shall transmit the 'Tunnel Exit Event' status on the vehicle network (Signal: BCM_EnvStatus) within 100 ms of the 5.0-second confirmation threshold being reached",11721800,"HONDA CIVIC 2022 [VEHICLE SPEED CONTROL,LANE DEPARTURE]","trigger:vehicle operating at highway speed (80,000 miles, post-steering recall), sustained thermal exposure near muffler | behavior:cruise control and lane departure systems expected to remain functional; instead, cruise control failed abruptly and multiple warning indicators activated, indicating loss of steering angle/speed/torque signal integrity or ECU communication failure due to damaged powe",0.5542,Y,
115,G-SYRS.0070_B,GitHub,SYRS.0070_B,Communication_Stack,"""The system shall apply the STmin (Separation Time) constraints only to subsequent Consecutive Frames (from CF Index 1 to CF Index 2, and so on), as defined in ISO 15765-2",pylessard/python-can-isotp#71,stmin is wrong at least on windows.,"trigger:ISO-TP transport layer transmission of consecutive frames (CF), stmin timer expiration on Windows | behavior:Expected: stmin timer elapses with precise timing per ISO 15765-2 (e.g., 1–255 ms or 0–127 ms for extended), enabling timely CF transmission. Observed: stmin timer does not expire as expected on Windows, causing delayed or stalled CF transmissions and slower-than-specified transfer ",0.7187,Y,
116,N-SYRS.0143_A,NHTSA,SYRS.0143_A,Body_Control,"""The system shall exit 'Direct Mode' IF and ONLY IF: 1) A 'User-Initiated Wipe Request' (e.g., stalk switch or HMI) is detected; 2) A 'Parking Position Change' (transition from parked to non-parked status) occurs within 4000 ms (WipeReqTimeout) after said user request. System-generated requests (e.g",11552194,"TOYOTA COROLLA 2022 [STEERING,ELECTRICAL SYSTEM]","trigger:vehicle operating at low speed (5 MPH) during left turn maneuver | behavior:expected: power steering assist and wiper/washer systems remain inactive unless commanded; actual: steering wheel locked (loss of assist), wipers and washer activated spontaneously without driver input | fault_mode:false-activation, state-stuck",0.6231,Y,
117,N-SYRS.0473_C_A,NHTSA,SYRS.0473_C_A,Functional_Safety,"""The System shall detect a 'Security_Lock_Condition'. Condition: The 'Missing_Message_Counter' is strictly greater than [Num_Key_Cycle] AND the 'VinOrig' signal is valid (value != 0xFF...FF)",11544007,"HONDA CIVIC 2022 [STEERING,POWER TRAIN,SERVICE BRAKES]","trigger:driving under normal conditions | behavior:ECU should maintain power steering assist and prevent unintended steering lock; instead, the system allowed potential steering lock and generated 'BRAKE SYSTEM' warning light and 'SEE YOUR DEALER' message despite no apparent brake fault | fault_mode:unexpected-lock",0.5633,Y,
118,G-SYRS.0651_B,GitHub,SYRS.0651_B,Diagnostics_DCM,"""The system shall respond to the $2E request within P2_Server_Time (50 ms). If the request fails, the following NRCs shall be implemented: 1. Unauthorized Session: NRC $7F (ServiceNotSupportedInActiveSession); 2. Security Locked: NRC $33 (SecurityAccessDenied); 3. Invalid Length: NRC $13 (IncorrectM",pylessard/python-udsoncan#80,P2 timeout time issue,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x02, following successful 0x03 session; server sends pending NRC (0x78) within <10ms | behavior:Expected: client to reset P2 timer upon receiving 0x78 pending response and wait for final response before P2* timeout; observed: client times out despite valid pending response arriving well within P2 (typically 5000ms) or P2* (typic",0.7003,Y,
119,G-SYRS.0467_B,GitHub,SYRS.0467_B,Diagnostics_DCM,"""The ESL shall detect the VIN sequence error and initiate the reset (defined in SYRS.0467_A) within 100 ms of the invalid frame reception",ecubus/EcuBus-Pro#218,[BUG] LIN刷写过程中，3C报文发送完成后，出现不发3D的情况,trigger:LIN firmware flashing sequence: after successful transmission of LIN frame ID 0x3C (diagnostic request) | behavior:expected: ECU responds with LIN frame ID 0x3D (diagnostic response) per LIN protocol and UDS-over-LIN timing requirements; observed: no 0x3D frame transmitted by ECU | fault_mode:missing response,0.6374,Y,
120,N-SYRS.0375_A_A,NHTSA,SYRS.0375_A_A,System_State,"""If 'BCM_COMMAND' has 'Message Counter Failure' for N_MCFail times AND 'INT.Info' is Active AND 'PowertrainPrplsnActv' is OFF, the system shall set 'ESL_CmdIgnSts.Info' to 'SNA",11564234,"HONDA CIVIC 2022 [FUEL SYSTEM, GASOLINE]","trigger:driving while turning at undisclosed speed | behavior:ECU was expected to maintain normal engine operation and emission system functionality; instead, it displayed 'Emission System Failure' and 'power might be reduced' warnings despite no illuminated MIL and no actual power loss reported | fault_mode:false-activation",0.5623,Y,
121,G-SYRS.0369_B,GitHub,SYRS.0369_B,Diagnostics_DEM,"""The System shall set the 'ESL_CmdIgn_FailSts.Info' signal to 'Fail_Present' within 100 ms after the 'BCM_COMMAND' message is missing (Timeout) for a continuous duration ≥ [T_BCM_COMMAND_Missing_Msg], provided the 'INT.Info' signal is 'Not_Active",hardbyte/python-can#1416,Broadcast Manager fails for large sets of messages,"trigger:Linux CAN BCM (Broadcast Manager) service, send_periodic() with >256 CAN frames | behavior:Expected: kernel BCM subsystem to accept and schedule periodic transmission of large message sets; Observed: OS returns EINVAL (22) indicating invalid frame reference when attempting to install BCM TX setup with >256 frames | fault_mode:protocol non-compliance",0.5885,Y,
122,N-SYRS.0193_A,NHTSA,SYRS.0193_A,Body_Control,"""The system shall detect a 'Tunnel Exit Event' IF the Global Ambient Light intensity exceeds 200 lux for a continuous duration of $\ge$ 5.0 seconds. This event shall serve as the primary trigger for automatic headlight deactivation logic (subject to SYRS_HYST_01)",11603441,TOYOTA CAMRY 2021 [AIR BAGS],trigger:driving at 40 MPH | behavior:air bag warning light should not illuminate during normal operation; it illuminated unexpectedly | fault_mode:false-activation,0.5917,Y,
123,G-SYRS.0271_A,GitHub,SYRS.0271_A,Diagnostics_DCM,"""The ECU shall send a Negative Response (SID 0x7F) for Service 0x22 requests with invalid sequence or out-of-range parameters. The response shall contain Requested SID 0x22 and one of the following specific NRCs: 0x22 (Conditions Not Correct/Sequence Error) or 0x31 (Request OutOfRange)",ecubus/EcuBus-Pro#42,Can ECU-BUS support 0x29 service?,"trigger:ECU-BUS request for UDS service 0x29 (Authentication) | behavior:Expected: ECU-BUS should support or reject service 0x29 with appropriate NRC (e.g., 0x7F + 0x29 + NRC) if unsupported; observed: no indication of support or defined behavior for service 0x29 | fault_mode:protocol non-compliance",0.7444,Y,
124,G-SYRS.0524_A,GitHub,SYRS.0524_A,Diagnostics_DCM,"""The ESCL shall support reading multiple Data Identifiers (DIDs) via UDS Service 0x22, aggregating the responses into a single positive message, provided the total data payload does not exceed the maximum response capacity (P_Max_Response_Payload, e.g., 258 bytes)",pylessard/python-udsoncan#17,read_data_by_identifier exception,"trigger:UDS service 0x22 (ReadDataByIdentifier) request for identifier 0x210f over CAN, with server response containing payload bytes interpreted as an additional data identifier | behavior:Expected: response payload '00400000' to be parsed as raw data for requested DID 0x210f. Observed: client incorrectly parsed the first two bytes '0040' as a second, unexpected DID 0x0040 due to misinterpretatio",0.6947,Y,
125,N-SYRS.0797_B_A,NHTSA,SYRS.0797_B_A,IO_HMI,"""The FES shall turn ON the light ring if the condition defined in reference 'SYRS 60027135' is TRUE AND the 'ViewController' signals are status 'Unavailable",11557628,TOYOTA CAMRY 2022 [EXTERIOR LIGHTING],"trigger:activation of high beams or ignition key turn-on | behavior:low beam LEDs should remain steadily illuminated during high beam operation and remain off/stable in ignition-on state; instead, both low beams flash intermittently — more severely on right front — and a diagnostic message indicates left front LED headlight fault | fault_mode:state-stuck",0.5858,Y,
126,N-SYRS.0899,NHTSA,SYRS.0899,IO_HMI,"""The EPB indicator symbol illumination shall have a luminance uniformity of at least 85% across its lit surface, measured under standard ambient lighting conditions",11483672,TOYOTA COROLLA 2022 [VISIBILITY],"trigger:driving at approximately 15 MPH | behavior:blind spot sensor integrated in passenger-side mirror should remain functional and structurally intact; instead, mirror shattered and air bag warning light illuminated (indicating related ECU fault detection or bus communication error) | fault_mode:sensor-error",0.5271,Y,
127,N-SYRS.0131_B_B,NHTSA,SYRS.0131_B_B,Body_Control,"""The system shall transmit the confirmed 'Rain Cessation' status on the vehicle bus within 100 ms of the 30.0-second stability threshold being reached",11511343,"TOYOTA COROLLA 2022 [POWER TRAIN,ELECTRICAL SYSTEM]","trigger:Vehicle stopped at traffic light during rainy conditions, after ~15 seconds of idle | behavior:Expected: EPS system to maintain assist and remain operational; Actual: EPS warning ('low steering power'), battery warning, steering lock engagement, and failure of engine stop button to respond (no shutdown on first press, required multiple presses and gear shift to park to restart) | fault_mod",0.605,Y,
128,G-SYRS.0366_B,GitHub,SYRS.0366_B,Communication_Stack,"""The system shall detect a 'BCM_Command_Timeout' fault if no valid BCM message is received for a continuous duration exceeding 'T_BCM_COMMAND_Missing_Msg'. Upon detection, the system shall enter 'Functional_Safe_State' within 20 ms",hardbyte/python-can#1416,Broadcast Manager fails for large sets of messages,"trigger:Linux CAN BCM (Broadcast Manager) service, send_periodic() with >256 CAN frames | behavior:Expected: kernel BCM subsystem to accept and schedule periodic transmission of large message sets; Observed: OS returns EINVAL (22) indicating invalid frame reference when attempting to install BCM TX setup with >256 frames | fault_mode:protocol non-compliance",0.636,Y,
129,G-SYRS.0567_A_B,GitHub,SYRS.0567_A_B,Diagnostic_Services,"""The system shall respond to the $2024 request within P2_Server_Time (50 ms). In case of 'PROXI Data Not Stored' or 'CRC Verification Failure', the system SHALL return NRC $31 (RequestOutOfRange) to prevent the use of invalid configuration data",pylessard/python-udsoncan#80,P2 timeout time issue,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x02, following successful 0x03 session; server sends pending NRC (0x78) within <10ms | behavior:Expected: client to reset P2 timer upon receiving 0x78 pending response and wait for final response before P2* timeout; observed: client times out despite valid pending response arriving well within P2 (typically 5000ms) or P2* (typic",0.6898,Y,
130,N-SYRS.0913,NHTSA,SYRS.0913,IO_HMI,"""The EPB search illumination shall meet the photometric standard for cool white light, defined by the CIE 1931 chromaticity coordinates: $0.270 \le x \le 0.380$ and $0.290 \le y \le 0.410$, with a Correlated Color Temperature (CCT) between 5000 K and 7000 K",11603441,TOYOTA CAMRY 2021 [AIR BAGS],trigger:driving at 40 MPH | behavior:air bag warning light should not illuminate during normal operation; it illuminated unexpectedly | fault_mode:false-activation,0.4533,Y,
131,G-SYRS.0547_B,GitHub,SYRS.0547_B,Diagnostics_DCM,"""The system shall respond to the $F183 request within P2_Server_Time (50 ms). If the fingerprint data has not been programmed in the NVM, the system shall return NRC $31 (RequestOutOfRange) or a default 13-byte payload of 0x00",pylessard/python-udsoncan#232,"Problem with waiting time to response longer than 1,658 seconds","trigger:UDS RoutineControl service (0x31) with ControlType=0x01 (start routine) for EraseMemory (0xff00), under server-side long-running execution requiring NRC 0x78 (RequestCorrectlyReceived_ResponsePending) responses | behavior:Expected: client should continue accepting NRC 0x78 responses until either a positive response or final NRC is received, respecting P2* (P2 extended) timeout logic per IS",0.6567,Y,
132,G-SYRS.0649_A_A,GitHub,SYRS.0649_A_A,Diagnostics_DEM,"""The FES shall record an entry in the event memory upon the 5th consecutive rejection of a view change request by the master, and only this specific rejection shall trigger the event",pylessard/python-can-isotp#59,Possibility to switch off Flow Control sending on Rx,trigger:ISO-TP reception of first frame (FC transmission trigger condition) | behavior:Expected: configurable suppression of Flow Control (FC) frame transmission after first frame reception; Observed: FC always sent unconditionally | fault_mode:protocol non-compliance,0.5427,Y,
133,G-SYRS.0022_H_B,GitHub,SYRS.0022_H_B,Communication_Stack,"""Within the T_WakeUp phase, once transmission commences, the system shall set all signals to their first captured physical value. If a specific signal source is still unavailable, the corresponding 'Signal_Status' bit shall be set to 'INIT' (0x01) and the data field shall be set to the defined Safe_",hardbyte/python-can#1284,Vector interface doesnt send msg with correct data or id (hardware config-> driver status -> init is missing),"trigger:Vector VN1630A hardware initialization state: driver status shows 'init' missing when CANoe is not running, but present when CANoe is active in background | behavior:Expected: CAN frame with correct arbitration ID (0x23) and data ([0x12, 0x13]) sent via channel 0 to be received intact on channel 1. Observed: Received frame has ID=0x0000, DLC=0, no data, and flags 'S Rx E' (indicating error",0.5862,Y,
134,N-SYRS.0111_A_B,NHTSA,SYRS.0111_A_B,IO_HMI,"""The system shall clear the Update Bit signal 'CTRL_C_Stat1_AR::MuteKey_Psd_UB' to 0 in the transmission frame immediately following the frame where the bit was set to 1",11628069,"HONDA CIVIC 2022 [STRUCTURE,UNKNOWN OR OTHER]","trigger:activating reverse gear to engage backup camera system | behavior:system was expected to display real-time rear-view camera feed on dashboard display; instead, camera feed failed (blank, frozen, or absent) without warning | fault_mode:no-response",0.5411,Y,
135,G-SYRS.0498_C,GitHub,SYRS.0498_C,Diagnostics_DEM,"""The System shall update the 'DTC_Brake1_Timeout' Status Mask based on the 'Timeout_Failure_Event' (SYRS.0498_A/B). 1. Set: When 'Timeout_Failure_Event' is TRUE, Set Bit 0 (testFailed) = 1. 2. Clear: When 'Timeout_Failure_Event' is FALSE, Set Bit 0 (testFailed) = 0",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.5802,Y,
136,N-SYRS.0383_A_A,NHTSA,SYRS.0383_A_A,System_State,"""If 'BCM_COMMAND' has 'MC Failure' AND 'INT.Info' is Active AND 'PowertrainPrplsnActv' is Active, the system shall set 'ESL_CmdIgnSts.Info' to 'SNA",11609213,TOYOTA CAMRY 2021 [ENGINE],"trigger:activating the air conditioning system while driving | behavior:ECU should maintain normal engine thermal management and not trigger master warning or 'Engine Maintenance Required' alert; instead, it erroneously activates both warnings indicating a perceived critical fault | fault_mode:false-activation",0.5606,Y,
137,G-SYRS.0482,GitHub,SYRS.0482,Diagnostics_DEM,"""The System shall ensure that 'Bit 3: confirmedDTC' of the DTC status byte remains '0' for any newly detected Diagnostic Trouble Code (DTC) if the 'Event_Memory_Full' condition is true (i.e., the number of stored DTCs has reached the maximum capacity [N_MAX_DTC])",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.5718,Y,
138,G-SYRS.0531_B,GitHub,SYRS.0531_B,Diagnostics_DCM,"""The ESCL shall respond to the UDS request '22 1032' within 50 ms (P2_Server_Max) of receiving the valid request",pylessard/python-udsoncan#121,Send new request takes too long after receiving response from server,"trigger:UDS client sending new request after receiving server response over ISO-TP on CAN (using peak-can hardware, Windows, Python) | behavior:Expected: new UDS request transmitted within P2 client timeout (50 ms); Observed: >100 ms delay between response reception and next request transmission | fault_mode:timing violation",0.6856,Y,
139,G-SYRS.0064,GitHub,SYRS.0064,Communication_Stack,'The ECU shall support the Network Transport Protocol as defined in ISO 15765-2,pylessard/python-can-isotp#131,Single Frame larger than 8 bytes is not supported,"trigger:ISO-15765-2 (CAN FD) single-frame transmission with payload > 8 bytes and TX_DL = 64 | behavior:Expected: Single-frame N_PDU with first byte = 0x00 followed by length byte (0x02) and payload (0x10 0x01); Observed: First byte omitted — frame starts with 0x02 0x10 0x01 (i.e., missing leading 0x00 for SF with length > 8) | fault_mode:protocol non-compliance",0.6605,Y,
140,N-SYRS.0603,NHTSA,SYRS.0603,IO_HMI,"""Upon detecting a valid state change of the rotary knob push button, the system shall ensure the 'Drehschalter_Taster' output signal maintains the new state for a minimum duration defined by the parameter 'Minimal_new_state_time_push_button' (Signal Extension)",11508600,HONDA CIVIC 2022 [STEERING],"trigger:after ~30 minutes of driving, during slight left/right steering input | behavior:steering system should provide smooth, low-effort rotational response to driver input; instead, it exhibits high resistance followed by sudden release (stick-slip behavior), with transient near-locking sensation | fault_mode:state-stuck",0.5558,Y,
141,G-SYRS.1074_A,GitHub,SYRS.1074_A,Diagnostics_DCM,"""The 'TransferData' positive response ($76) shall include a 16-bit Cyclic Redundancy Check (CRC) checksum, calculated using the CRC-16-CCITT algorithm over the entire response data field (transferResponseParameterRecord)",pylessard/python-udsoncan#282,"The error message ""7f 36 71"" occurs when flashing the application using Service 36","trigger:UDS Service 36 (TransferData) over classical CAN (not CAN FD), with chunked application data transfer | behavior:Expected: positive response to TransferData request (0x36 + data); Observed: negative response '7F 36 71' (NRC 0x71 = 'transferDataSuspended') | fault_mode:wrong NRC",0.6412,Y,
142,N-SYRS.0017_A_B,NHTSA,SYRS.0017_A_B,System_State,"""The system shall immediately cancel the transition to Sleep Mode and return to Normal Operation State if a valid Network Wakeup Event is detected during the T_WAIT_BUS_SLEEP period",11435010,HONDA CIVIC 2022 [AIR BAGS],"trigger:unbuckling the seat belt after vehicle stop | behavior:expected: SRS system to remain operational and not generate false fault indication; actual: SRS warning light illuminates indicating airbag/seatbelt system fault, requiring ignition cycle to clear | fault_mode:false-activation",0.5864,Y,
143,G-SYRS.0484_B,GitHub,SYRS.0484_B,Diagnostics_DEM,"""The Aging decrement logic shall ignore Ignition_On events if the preceding Operation Cycle duration was less than 5 seconds (T_Min_Cycle_Run), to prevent unintended DTC healing due to signal jitter or rapid power cycling",pylessard/python-udsoncan#232,"Problem with waiting time to response longer than 1,658 seconds","trigger:UDS RoutineControl service (0x31) with ControlType=0x01 (start routine) for EraseMemory (0xff00), under server-side long-running execution requiring NRC 0x78 (RequestCorrectlyReceived_ResponsePending) responses | behavior:Expected: client should continue accepting NRC 0x78 responses until either a positive response or final NRC is received, respecting P2* (P2 extended) timeout logic per IS",0.5641,Y,
